CT_1,Y_1_star,P_1_star,RR_1_star,CT_2,Y_2_star,P_2_star,RR_2_star,CT_3,Y_3_star,P_3_star,RR_3_star,CT_4,Y_4_star,P_4_star,RR_4_star,cons
0.016288004318141702,-0.0052860595896639575,0.0033209413376445317,-0.011198090276682638,0.0012421881063442441,-0.004310759671613988,-0.0007841812911224011,-0.011558574620962615,-0.013586414485828868,-0.005864034381762543,-0.004887061916442714,-0.007505846305970294,-0.0340936832445351,-0.01006431122246134,-0.010006553835798003,-0.009536252782466916,1.0
0.006555466905483698,-0.003835257499560687,0.006040583622114751,-0.006246741674258824,0.016288004318141702,-0.0052860595896639575,0.0033209413376445317,-0.011198090276682638,0.0012421881063442441,-0.004310759671613988,-0.0007841812911224011,-0.011558574620962615,-0.013586414485828868,-0.005864034381762543,-0.004887061916442714,-0.007505846305970294,1.0
0.00932734254574541,0.0020679924127473145,0.0062047286932039375,-0.006101215749707943,0.006555466905483698,-0.003835257499560687,0.006040583622114751,-0.006246741674258824,0.016288004318141702,-0.0052860595896639575,0.0033209413376445317,-0.011198090276682638,0.0012421881063442441,-0.004310759671613988,-0.0007841812911224011,-0.011558574620962615,1.0
0.004212708870905857,0.0032653059875517804,0.012591212392626937,0.002280935652042328,0.00932734254574541,0.0020679924127473145,0.0062047286932039375,-0.006101215749707943,0.006555466905483698,-0.003835257499560687,0.006040583622114751,-0.006246741674258824,0.016288004318141702,-0.0052860595896639575,0.0033209413376445317,-0.011198090276682638,1.0
-5.4807958081326547e-05,0.005566806821917185,0.015823215163662193,0.008590731444229002,0.004212708870905857,0.0032653059875517804,0.012591212392626937,0.002280935652042328,0.00932734254574541,0.0020679924127473145,0.0062047286932039375,-0.006101215749707943,0.006555466905483698,-0.003835257499560687,0.006040583622114751,-0.006246741674258824,1.0
0.00680444357044685,0.00950395137425541,0.01599812417057268,0.011630354259491252,-5.4807958081326547e-05,0.005566806821917185,0.015823215163662193,0.008590731444229002,0.004212708870905857,0.0032653059875517804,0.012591212392626937,0.002280935652042328,0.00932734254574541,0.0020679924127473145,0.0062047286932039375,-0.006101215749707943,1.0
0.004670023101327914,0.0054389025381057065,0.0171025449560084,0.008295439032527623,0.00680444357044685,0.00950395137425541,0.01599812417057268,0.011630354259491252,-5.4807958081326547e-05,0.005566806821917185,0.015823215163662193,0.008590731444229002,0.004212708870905857,0.0032653059875517804,0.012591212392626937,0.002280935652042328,1.0
0.005931488981147481,0.0040171848663404335,0.011504413480978727,0.0032231007414058157,0.004670023101327914,0.0054389025381057065,0.0171025449560084,0.008295439032527623,0.00680444357044685,0.00950395137425541,0.01599812417057268,0.011630354259491252,-5.4807958081326547e-05,0.005566806821917185,0.015823215163662193,0.008590731444229002,1.0
0.017865599812672883,0.0047104090325097,0.00857610479677141,-0.004368770818447816,0.005931488981147481,0.0040171848663404335,0.011504413480978727,0.0032231007414058157,0.004670023101327914,0.0054389025381057065,0.0171025449560084,0.008295439032527623,0.00680444357044685,0.00950395137425541,0.01599812417057268,0.011630354259491252,1.0
0.021631787898204635,0.003980844923569298,0.005470414478354282,-0.01493031101652742,0.017865599812672883,0.0047104090325097,0.00857610479677141,-0.004368770818447816,0.005931488981147481,0.0040171848663404335,0.011504413480978727,0.0032231007414058157,0.004670023101327914,0.0054389025381057065,0.0171025449560084,0.008295439032527623,1.0
