,YT,Y_star,P_star,RR_star
2013-01-01,-0.03794170289081222,-0.021020596058974387,0.0005628531517811758,-0.002945234579480099
2013-04-01,-0.042428196984909405,-0.02039427582693547,-0.0015478497492487054,-0.005634882643569908
2013-07-01,-0.022684809734265343,-0.017811722754651337,0.000747330717358516,-0.0027561468208181527
2013-10-01,0.001940792168431571,-0.016387781538300224,-0.002214277169621643,0.0013516485602659977
2014-01-01,0.028888305463123487,-0.018477150608505695,-0.002361642623110271,0.010897902595477897
2014-04-01,0.0070980599679231204,-0.015291710691242142,0.0021729313875559282,0.0091238131553987
2014-07-01,0.020714815308224388,-0.010897484519788447,0.00017159227830043658,0.008617091901411305
2014-10-01,0.029094655027599003,-0.010202363825819355,-0.0037484666625559994,0.007096895565491669
2015-01-01,0.01735469527839406,-0.00622273853893596,-0.011164548404984183,0.004604028904370836
2015-04-01,0.0008306432104117079,-0.0054689998820486915,-0.009734278390973676,0.005471468297155967
2015-07-01,0.010308789138315788,-0.005432636714133313,-0.009632262302160511,0.00483187296924403
2015-10-01,0.021116183828006285,-0.006581182961242694,-0.006580264333822159,0.0007502117961324902
2016-01-01,-0.023021009272872206,-0.0056688863079164195,-0.003854120540021494,-0.005373495079721607
2016-04-01,-0.01814295183725534,-0.006867759677564777,-0.004599763513488985,-0.0011369736661319316
2016-07-01,-0.019828906422066694,-0.006629437629552901,-0.002892659107516263,-0.00042145710162207976
2016-10-01,-0.018837903456283556,-0.0049207618718969505,0.0011634807393783992,-0.00013779900060340537
2017-01-01,-0.024474747746106473,-0.0038523908279714148,0.009198307926849976,0.0016746475307872354
2017-04-01,-0.009399626675973494,-0.0023441819941415645,0.006295526953037196,-0.0007096003633517118
2017-07-01,-0.01567300275826078,-4.76700185369082e-05,0.006829162058696678,-0.0002797770531566104
2017-10-01,0.004428492330941225,0.002355188043676953,0.008781113206636264,0.0038043998850025938
2018-01-01,0.02975488409891902,0.0024152335142881808,0.008389402134910826,0.011612018905920693
2018-04-01,0.034932009708599665,0.004219448529064386,0.012570786957514995,0.012856981368179593
2018-07-01,0.010824854569868592,0.0017763131657710387,0.017276217335532876,0.015525775953812012
2018-10-01,-0.0048483968618882045,-0.00055803365247447,0.016198615906605946,0.017205801463619802
