YT_1,Y_1_star,P_1_star,RR_1_star,YT_2,Y_2_star,P_2_star,RR_2_star,YT_3,Y_3_star,P_3_star,RR_3_star,YT_4,Y_4_star,P_4_star,RR_4_star,cons
0.048066255726052276,-0.044634257708946634,-0.02409494516643207,0.006153482193107003,0.02613388189117316,-0.0403854677055691,-0.01079227161148814,0.008206730860395238,0.02029100537806272,-0.037241148877434266,-0.008338352887115182,0.007784965073642208,0.023505861020474583,-0.03596325185262591,-0.0007150311777536387,0.015163201560366985,1.0
0.018228626590186536,-0.04208703475838529,-0.029674140426272148,-0.0010403768812148784,0.048066255726052276,-0.044634257708946634,-0.02409494516643207,0.006153482193107003,0.02613388189117316,-0.0403854677055691,-0.01079227161148814,0.008206730860395238,0.02029100537806272,-0.037241148877434266,-0.008338352887115182,0.007784965073642208,1.0
0.004521799890650158,-0.04048103864274827,-0.03229272952173181,-0.00191012661953661,0.018228626590186536,-0.04208703475838529,-0.029674140426272148,-0.0010403768812148784,0.048066255726052276,-0.044634257708946634,-0.02409494516643207,0.006153482193107003,0.02613388189117316,-0.0403854677055691,-0.01079227161148814,0.008206730860395238,1.0
-0.023429757414142216,-0.038421550981898214,-0.03545901588636597,-0.0018269189460766505,0.004521799890650158,-0.04048103864274827,-0.03229272952173181,-0.00191012661953661,0.018228626590186536,-0.04208703475838529,-0.029674140426272148,-0.0010403768812148784,0.048066255726052276,-0.044634257708946634,-0.02409494516643207,0.006153482193107003,1.0
-0.036615583264808294,-0.03497307658267532,-0.03563287842593433,-8.77847554998532e-05,-0.023429757414142216,-0.038421550981898214,-0.03545901588636597,-0.0018269189460766505,0.004521799890650158,-0.04048103864274827,-0.03229272952173181,-0.00191012661953661,0.018228626590186536,-0.04208703475838529,-0.029674140426272148,-0.0010403768812148784,1.0
-0.038857875879827475,-0.039179944603240244,-0.03293599209973622,-0.002392267804363966,-0.036615583264808294,-0.03497307658267532,-0.03563287842593433,-8.77847554998532e-05,-0.023429757414142216,-0.038421550981898214,-0.03545901588636597,-0.0018269189460766505,0.004521799890650158,-0.04048103864274827,-0.03229272952173181,-0.00191012661953661,1.0
-0.034879726367773145,-0.040319171752575926,-0.02983014409473695,-0.007490361914842652,-0.038857875879827475,-0.039179944603240244,-0.03293599209973622,-0.002392267804363966,-0.036615583264808294,-0.03497307658267532,-0.03563287842593433,-8.77847554998532e-05,-0.023429757414142216,-0.038421550981898214,-0.03545901588636597,-0.0018269189460766505,1.0
-0.03208150294673828,-0.04231990717921498,-0.02830824904533304,-0.01254290068605497,-0.034879726367773145,-0.040319171752575926,-0.02983014409473695,-0.007490361914842652,-0.038857875879827475,-0.039179944603240244,-0.03293599209973622,-0.002392267804363966,-0.036615583264808294,-0.03497307658267532,-0.03563287842593433,-8.77847554998532e-05,1.0
-0.03308824340253125,-0.03668558047554887,-0.028761504814363355,-0.012882713548064034,-0.03208150294673828,-0.04231990717921498,-0.02830824904533304,-0.01254290068605497,-0.034879726367773145,-0.040319171752575926,-0.02983014409473695,-0.007490361914842652,-0.038857875879827475,-0.039179944603240244,-0.03293599209973622,-0.002392267804363966,1.0
-0.026130824357728955,-0.032988335044589666,-0.03362529679667107,-0.01655315261286731,-0.03308824340253125,-0.03668558047554887,-0.028761504814363355,-0.012882713548064034,-0.03208150294673828,-0.04231990717921498,-0.02830824904533304,-0.01254290068605497,-0.034879726367773145,-0.040319171752575926,-0.02983014409473695,-0.007490361914842652,1.0
-0.01611595046409775,-0.02675924406447915,-0.034189348831743946,-0.0141304943677528,-0.026130824357728955,-0.032988335044589666,-0.03362529679667107,-0.01655315261286731,-0.03308824340253125,-0.03668558047554887,-0.028761504814363355,-0.012882713548064034,-0.03208150294673828,-0.04231990717921498,-0.02830824904533304,-0.01254290068605497,1.0
-0.032435478191359834,-0.02684188451226272,-0.03250764197784639,-0.007636850946377343,-0.01611595046409775,-0.02675924406447915,-0.034189348831743946,-0.0141304943677528,-0.026130824357728955,-0.032988335044589666,-0.03362529679667107,-0.01655315261286731,-0.03308824340253125,-0.03668558047554887,-0.028761504814363355,-0.012882713548064034,1.0
0.006912631173161543,-0.023287532927917992,-0.03017114633416825,0.00039891968731416215,-0.032435478191359834,-0.02684188451226272,-0.03250764197784639,-0.007636850946377343,-0.01611595046409775,-0.02675924406447915,-0.034189348831743946,-0.0141304943677528,-0.026130824357728955,-0.032988335044589666,-0.03362529679667107,-0.01655315261286731,1.0
0.012851818343506238,-0.02653024715265507,-0.01840847083636734,0.006216574145272645,0.006912631173161543,-0.023287532927917992,-0.03017114633416825,0.00039891968731416215,-0.032435478191359834,-0.02684188451226272,-0.03250764197784639,-0.007636850946377343,-0.01611595046409775,-0.02675924406447915,-0.034189348831743946,-0.0141304943677528,1.0
0.021537805248893704,-0.03049822140872094,-0.0097790311624684,0.005972020059638857,0.012851818343506238,-0.02653024715265507,-0.01840847083636734,0.006216574145272645,0.006912631173161543,-0.023287532927917992,-0.03017114633416825,0.00039891968731416215,-0.032435478191359834,-0.02684188451226272,-0.03250764197784639,-0.007636850946377343,1.0
0.013474140467494067,-0.028146347182857336,-0.010055468758270727,0.0036509404461155383,0.021537805248893704,-0.03049822140872094,-0.0097790311624684,0.005972020059638857,0.012851818343506238,-0.02653024715265507,-0.01840847083636734,0.006216574145272645,0.006912631173161543,-0.023287532927917992,-0.03017114633416825,0.00039891968731416215,1.0
