P_1,Y_1_star,P_1_star,RR_1_star,P_2,Y_2_star,P_2_star,RR_2_star,P_3,Y_3_star,P_3_star,RR_3_star,P_4,Y_4_star,P_4_star,RR_4_star,cons
-0.013640626855326951,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,-0.013928779884137182,-0.012588060963659251,-0.014536695575282033,0.0012930129762178868,-0.008132463294459387,-0.012053126059818158,-0.012215282714098476,0.0056849871043049855,-0.012720241802957576,-0.012372851726318754,-0.020011564399565522,0.0054526650021159235,1.0
-0.019801785128040775,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,-0.013640626855326951,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,-0.013928779884137182,-0.012588060963659251,-0.014536695575282033,0.0012930129762178868,-0.008132463294459387,-0.012053126059818158,-0.012215282714098476,0.0056849871043049855,1.0
-0.019221976559119183,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,-0.019801785128040775,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,-0.013640626855326951,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,-0.013928779884137182,-0.012588060963659251,-0.014536695575282033,0.0012930129762178868,1.0
-0.017684370802583012,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,-0.019221976559119183,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,-0.019801785128040775,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,-0.013640626855326951,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,1.0
-0.020094056614165808,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,-0.017684370802583012,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,-0.019221976559119183,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,-0.019801785128040775,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,1.0
-0.026828875938055077,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,-0.020094056614165808,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,-0.017684370802583012,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,-0.019221976559119183,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,1.0
-0.03553584753713106,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,-0.026828875938055077,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,-0.020094056614165808,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,-0.017684370802583012,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,1.0
-0.03223495863608044,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973,-0.03553584753713106,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,-0.026828875938055077,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,-0.020094056614165808,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,1.0
-0.02957070050679554,-0.003701071817649664,-0.03202189457241283,0.0032126487193686938,-0.03223495863608044,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973,-0.03553584753713106,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,-0.026828875938055077,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,1.0
-0.029825546543554633,-0.0008432426048958524,-0.02154151476142461,0.0030345696222149783,-0.02957070050679554,-0.003701071817649664,-0.03202189457241283,0.0032126487193686938,-0.03223495863608044,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973,-0.03553584753713106,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,1.0
