RR_1,Y_1_star,P_1_star,RR_1_star,RR_2,Y_2_star,P_2_star,RR_2_star,RR_3,Y_3_star,P_3_star,RR_3_star,RR_4,Y_4_star,P_4_star,RR_4_star,cons
-0.018403348466792802,-0.007539757933572682,-0.01064926693451912,0.005344628636578572,-0.012168093023822178,-0.005921524976134678,-0.010047270177644929,0.007670335879393266,-0.0028621330627149125,-0.0072495879409861744,-0.008581239062007754,0.007266688306564761,-0.006546658206711485,-0.007949389251285887,-0.006897196913144944,0.004139358872421601,1.0
-0.02383774568961442,-0.007304438487871837,-0.012842673190477117,-0.00038780010284332565,-0.018403348466792802,-0.007539757933572682,-0.01064926693451912,0.005344628636578572,-0.012168093023822178,-0.005921524976134678,-0.010047270177644929,0.007670335879393266,-0.0028621330627149125,-0.0072495879409861744,-0.008581239062007754,0.007266688306564761,1.0
-0.02618755617020036,-0.00874789631884539,-0.012912621842263916,-0.0026208795273467375,-0.02383774568961442,-0.007304438487871837,-0.012842673190477117,-0.00038780010284332565,-0.018403348466792802,-0.007539757933572682,-0.01064926693451912,0.005344628636578572,-0.012168093023822178,-0.005921524976134678,-0.010047270177644929,0.007670335879393266,1.0
-0.02792329399741699,-0.007023933921551791,-0.013985198348327234,-0.007133318171887718,-0.02618755617020036,-0.00874789631884539,-0.012912621842263916,-0.0026208795273467375,-0.02383774568961442,-0.007304438487871837,-0.012842673190477117,-0.00038780010284332565,-0.018403348466792802,-0.007539757933572682,-0.01064926693451912,0.005344628636578572,1.0
-0.02626752739346566,-0.00848236618124078,-0.0127721360445698,-0.009732223429162603,-0.02792329399741699,-0.007023933921551791,-0.013985198348327234,-0.007133318171887718,-0.02618755617020036,-0.00874789631884539,-0.012912621842263916,-0.0026208795273467375,-0.02383774568961442,-0.007304438487871837,-0.012842673190477117,-0.00038780010284332565,1.0
-0.023942384113225898,-0.0048648531742290484,-0.01234895735292037,-0.006577468283279569,-0.02626752739346566,-0.00848236618124078,-0.0127721360445698,-0.009732223429162603,-0.02792329399741699,-0.007023933921551791,-0.013985198348327234,-0.007133318171887718,-0.02618755617020036,-0.00874789631884539,-0.012912621842263916,-0.0026208795273467375,1.0
-0.021676342453728518,0.0014926878379970382,-0.013712494095018301,-0.006119587288121452,-0.023942384113225898,-0.0048648531742290484,-0.01234895735292037,-0.006577468283279569,-0.02626752739346566,-0.00848236618124078,-0.0127721360445698,-0.009732223429162603,-0.02792329399741699,-0.007023933921551791,-0.013985198348327234,-0.007133318171887718,1.0
-0.01699314119074981,0.0015276821692342482,-0.010310356332726563,-0.0003483246281328838,-0.021676342453728518,0.0014926878379970382,-0.013712494095018301,-0.006119587288121452,-0.023942384113225898,-0.0048648531742290484,-0.01234895735292037,-0.006577468283279569,-0.02626752739346566,-0.00848236618124078,-0.0127721360445698,-0.009732223429162603,1.0
-0.012118525333318298,0.006143333281123292,-0.008874899957729651,0.004379753151108398,-0.01699314119074981,0.0015276821692342482,-0.010310356332726563,-0.0003483246281328838,-0.021676342453728518,0.0014926878379970382,-0.013712494095018301,-0.006119587288121452,-0.023942384113225898,-0.0048648531742290484,-0.01234895735292037,-0.006577468283279569,1.0
-0.014811317149181703,0.005480375224187162,-0.011166018387496073,0.002580370163765445,-0.012118525333318298,0.006143333281123292,-0.008874899957729651,0.004379753151108398,-0.01699314119074981,0.0015276821692342482,-0.010310356332726563,-0.0003483246281328838,-0.021676342453728518,0.0014926878379970382,-0.013712494095018301,-0.006119587288121452,1.0
