,CT,Y_star,P_star,RR_star
1992-01-01,0.08635863780431663,-0.04208703475838529,-0.029674140426272148,-0.0010403768812148784
1992-04-01,0.08565943917237462,-0.04048103864274827,-0.03229272952173181,-0.00191012661953661
1992-07-01,0.08088542090871798,-0.038421550981898214,-0.03545901588636597,-0.0018269189460766505
1992-10-01,0.08348692701862959,-0.03497307658267532,-0.03563287842593433,-8.77847554998532e-05
1993-01-01,0.08958538601449106,-0.039179944603240244,-0.03293599209973622,-0.002392267804363966
1993-04-01,0.08787734955025428,-0.040319171752575926,-0.02983014409473695,-0.007490361914842652
1993-07-01,0.0889518360313204,-0.04231990717921498,-0.02830824904533304,-0.01254290068605497
1993-10-01,0.10054796828908863,-0.03668558047554887,-0.028761504814363355,-0.012882713548064034
1994-01-01,0.09121510445617531,-0.032988335044589666,-0.03362529679667107,-0.01655315261286731
1994-04-01,0.09033606059439592,-0.02675924406447915,-0.034189348831743946,-0.0141304943677528
1994-07-01,0.09446036651982581,-0.02684188451226272,-0.03250764197784639,-0.007636850946377343
1994-10-01,0.10026071309579976,-0.023287532927917992,-0.03017114633416825,0.00039891968731416215
1995-01-01,0.11434570240140829,-0.02653024715265507,-0.01840847083636734,0.006216574145272645
1995-04-01,0.1259374391794026,-0.03049822140872094,-0.0097790311624684,0.005972020059638857
1995-07-01,0.12467434035107416,-0.028146347182857336,-0.010055468758270727,0.0036509404461155383
1995-10-01,0.11515198902804258,-0.02940026062930902,-0.01124085479980062,0.001437025509672244
1996-01-01,0.12652486709248834,-0.02868444567579763,-0.02006083552548056,-0.0009356054401009938
1996-04-01,0.1314400189485454,-0.021684236826357905,-0.022590083028128167,0.0038397224781476056
1996-07-01,0.11886249926385162,-0.01950544427543198,-0.025828345228491263,0.003917772788579194
1996-10-01,0.12847293456976772,-0.015782656503612918,-0.026558208860950786,0.004165500745759858
1997-01-01,0.1232696978645258,-0.01468836936490528,-0.028240363265699814,0.006956896247227777
1997-04-01,0.12381311174595666,-0.0049348421510487985,-0.03610470405196576,0.006401277961293329
1997-07-01,0.11817790703716469,-0.0006713851902579039,-0.03791688192941287,0.0076265033724923215
1997-10-01,0.12365984561093057,0.0020316521968503387,-0.038938137144221396,0.010673174048532751
1998-01-01,-0.0385470287859313,0.005051891580820992,-0.0378713019864569,0.00996770252873411
1998-04-01,-0.030899100788872147,0.0068275872235442105,-0.03336418176957711,0.008365648638605118
1998-07-01,-0.0042396794326471365,0.01231159369275072,-0.030974410446456074,0.006575695549110638
1998-10-01,-0.0056258057203493195,0.020713164574937694,-0.030822746305931372,0.0010498779403348404
1999-01-01,0.037635855855668865,0.023657770110780473,-0.03224506959123386,-0.0077219397248196675
1999-04-01,0.010950229873980533,0.02452681511944584,-0.02896837771870159,-0.009759328253361585
1999-07-01,0.0323372802767814,0.031386090102179125,-0.023344603871619178,-0.010877876032950012
1999-10-01,0.047442372518457177,0.040815476110423486,-0.020481122126678616,-0.004434702879042207
2000-01-01,0.05058648051662473,0.03936639668517187,-0.014475272830148659,-0.0031368390553307792
2000-04-01,0.051324968911231394,0.048774602466238756,-0.012752614238332948,0.00038266608941413526
2000-07-01,0.042470030526168046,0.04431476254993972,0.002381041808119501,0.010151921684056804
2000-10-01,0.03290169295714307,0.042451693016510965,0.004029682872830788,0.01753614925803009
2001-01-01,0.014546624794615326,0.03553000327700526,0.0035133727944673867,0.011772089330826224
2001-04-01,0.03015041882797931,0.03510947385671487,0.007956493296222247,0.00625489637892968
2001-07-01,0.027625072063987233,0.027030406338779418,-0.01077020792199986,-0.0008141793145814911
2001-10-01,0.031242812301854883,0.024406413167224528,-0.015098573510876321,-0.01580092738275012
2002-01-01,0.02619587858804806,0.02647193224073408,-0.013824404855149313,-0.021183357833842845
2002-04-01,0.022710783294829895,0.027214049016466547,-0.012712285315351518,-0.013241644451572927
2002-07-01,0.01636066049655227,0.025448523045618794,-0.00943111963465047,-0.013228604704176675
2002-10-01,0.029528290343073138,0.02199236081218207,-0.0020874177348372655,-0.012756966469845607
2003-01-01,-0.010337130309054032,0.020709606329094795,0.0017311189218946633,-0.012353683454111813
2003-04-01,-0.02312440876907118,0.02215952724127083,-0.008649735940403814,-0.0217053162769048
