YNT_1,Y_1_star,P_1_star,RR_1_star,YNT_2,Y_2_star,P_2_star,RR_2_star,YNT_3,Y_3_star,P_3_star,RR_3_star,YNT_4,Y_4_star,P_4_star,RR_4_star,cons
-0.012230905858325869,-0.012657442045848519,-0.010234898690934349,-0.005018632529562257,-0.008263934145931628,-0.012829773685626537,-0.010572208892441438,-0.0036614479251113304,-0.010336038535379899,-0.013365680241817269,-0.009773476358744888,-0.0004313651660179533,-0.0036414417942935984,-0.013925063237726402,-0.010219705667458664,-0.001088250181974616,1.0
-0.00937073397906829,-0.010952867061537884,-0.013112372925968698,-0.0031693009282744854,-0.012230905858325869,-0.012657442045848519,-0.010234898690934349,-0.005018632529562257,-0.008263934145931628,-0.012829773685626537,-0.010572208892441438,-0.0036614479251113304,-0.010336038535379899,-0.013365680241817269,-0.009773476358744888,-0.0004313651660179533,1.0
-0.006153393628991921,-0.0065197737876179,-0.01721107568116888,-0.005051976494825151,-0.00937073397906829,-0.010952867061537884,-0.013112372925968698,-0.0031693009282744854,-0.012230905858325869,-0.012657442045848519,-0.010234898690934349,-0.005018632529562257,-0.008263934145931628,-0.012829773685626537,-0.010572208892441438,-0.0036614479251113304,1.0
-0.0012776212103737805,-0.004707093676508962,-0.013260006589178282,-0.0007946351446086635,-0.006153393628991921,-0.0065197737876179,-0.01721107568116888,-0.005051976494825151,-0.00937073397906829,-0.010952867061537884,-0.013112372925968698,-0.0031693009282744854,-0.012230905858325869,-0.012657442045848519,-0.010234898690934349,-0.005018632529562257,1.0
-0.0011342409222478977,-0.001305072715110459,-0.012460348809301547,0.0035991820465477416,-0.0012776212103737805,-0.004707093676508962,-0.013260006589178282,-0.0007946351446086635,-0.006153393628991921,-0.0065197737876179,-0.01721107568116888,-0.005051976494825151,-0.00937073397906829,-0.010952867061537884,-0.013112372925968698,-0.0031693009282744854,1.0
-0.0002523732480739227,0.00021958909222370295,-0.0146927273542483,0.001304477735964202,-0.0011342409222478977,-0.001305072715110459,-0.012460348809301547,0.0035991820465477416,-0.0012776212103737805,-0.004707093676508962,-0.013260006589178282,-0.0007946351446086635,-0.006153393628991921,-0.0065197737876179,-0.01721107568116888,-0.005051976494825151,1.0
0.007199277210872879,-0.00011027432452848836,-0.013291203178822512,-0.0004967219653023166,-0.0002523732480739227,0.00021958909222370295,-0.0146927273542483,0.001304477735964202,-0.0011342409222478977,-0.001305072715110459,-0.012460348809301547,0.0035991820465477416,-0.0012776212103737805,-0.004707093676508962,-0.013260006589178282,-0.0007946351446086635,1.0
0.00963548915434842,0.0003388401624116374,-0.01628792849491179,-0.0013022974203844128,0.007199277210872879,-0.00011027432452848836,-0.013291203178822512,-0.0004967219653023166,-0.0002523732480739227,0.00021958909222370295,-0.0146927273542483,0.001304477735964202,-0.0011342409222478977,-0.001305072715110459,-0.012460348809301547,0.0035991820465477416,1.0
0.007541803329969454,-0.0007140638639131567,-0.01884366880815653,-0.007293543616070736,0.00963548915434842,0.0003388401624116374,-0.01628792849491179,-0.0013022974203844128,0.007199277210872879,-0.00011027432452848836,-0.013291203178822512,-0.0004967219653023166,-0.0002523732480739227,0.00021958909222370295,-0.0146927273542483,0.001304477735964202,1.0
0.009073548635292639,0.0022785251177617726,-0.01806249556355324,-0.015331647303558354,0.007541803329969454,-0.0007140638639131567,-0.01884366880815653,-0.007293543616070736,0.00963548915434842,0.0003388401624116374,-0.01628792849491179,-0.0013022974203844128,0.007199277210872879,-0.00011027432452848836,-0.013291203178822512,-0.0004967219653023166,1.0
0.010799236659194023,0.0016859285764820192,-0.015311389299189364,-0.018797953661139986,0.009073548635292639,0.0022785251177617726,-0.01806249556355324,-0.015331647303558354,0.007541803329969454,-0.0007140638639131567,-0.01884366880815653,-0.007293543616070736,0.00963548915434842,0.0003388401624116374,-0.01628792849491179,-0.0013022974203844128,1.0
0.01417383430003305,0.007322101555856152,-0.013259456628668195,-0.02069216258162104,0.010799236659194023,0.0016859285764820192,-0.015311389299189364,-0.018797953661139986,0.009073548635292639,0.0022785251177617726,-0.01806249556355324,-0.015331647303558354,0.007541803329969454,-0.0007140638639131567,-0.01884366880815653,-0.007293543616070736,1.0
0.012137076520723156,0.012621383476988856,-0.009694126366260424,-0.014915617577987924,0.01417383430003305,0.007322101555856152,-0.013259456628668195,-0.02069216258162104,0.010799236659194023,0.0016859285764820192,-0.015311389299189364,-0.018797953661139986,0.009073548635292639,0.0022785251177617726,-0.01806249556355324,-0.015331647303558354,1.0
0.020183674252834294,0.017362923115856,-0.005923910467272428,-0.011465893875981426,0.012137076520723156,0.012621383476988856,-0.009694126366260424,-0.014915617577987924,0.01417383430003305,0.007322101555856152,-0.013259456628668195,-0.02069216258162104,0.010799236659194023,0.0016859285764820192,-0.015311389299189364,-0.018797953661139986,1.0
0.013893457128174802,0.02102479555036416,-0.005765343392403197,-0.00987851247978007,0.020183674252834294,0.017362923115856,-0.005923910467272428,-0.011465893875981426,0.012137076520723156,0.012621383476988856,-0.009694126366260424,-0.014915617577987924,0.01417383430003305,0.007322101555856152,-0.013259456628668195,-0.02069216258162104,1.0
0.014662104434624013,0.01990649535049086,-0.002622620610985512,-0.0017484841265466109,0.013893457128174802,0.02102479555036416,-0.005765343392403197,-0.00987851247978007,0.020183674252834294,0.017362923115856,-0.005923910467272428,-0.011465893875981426,0.012137076520723156,0.012621383476988856,-0.009694126366260424,-0.014915617577987924,1.0
0.015144026304630742,0.01879133356400047,-0.0012827435228973327,0.006323821262662393,0.014662104434624013,0.01990649535049086,-0.002622620610985512,-0.0017484841265466109,0.013893457128174802,0.02102479555036416,-0.005765343392403197,-0.00987851247978007,0.020183674252834294,0.017362923115856,-0.005923910467272428,-0.011465893875981426,1.0
0.012602624919214378,0.019920119077275946,-0.0031429707718144797,0.002049265793286942,0.015144026304630742,0.01879133356400047,-0.0012827435228973327,0.006323821262662393,0.014662104434624013,0.01990649535049086,-0.002622620610985512,-0.0017484841265466109,0.013893457128174802,0.02102479555036416,-0.005765343392403197,-0.00987851247978007,1.0
0.014152645546841924,0.016676563395576976,0.003919373979172419,0.00125497223279124,0.012602624919214378,0.019920119077275946,-0.0031429707718144797,0.002049265793286942,0.015144026304630742,0.01879133356400047,-0.0012827435228973327,0.006323821262662393,0.014662104434624013,0.01990649535049086,-0.002622620610985512,-0.0017484841265466109,1.0
0.009470104087066389,0.01287388458159575,0.0010923314357732937,0.00023195643519899892,0.014152645546841924,0.016676563395576976,0.003919373979172419,0.00125497223279124,0.012602624919214378,0.019920119077275946,-0.0031429707718144797,0.002049265793286942,0.015144026304630742,0.01879133356400047,-0.0012827435228973327,0.006323821262662393,1.0
0.012456250930059198,0.009113156581961693,-0.003048308796834168,-0.01353732068729475,0.009470104087066389,0.01287388458159575,0.0010923314357732937,0.00023195643519899892,0.014152645546841924,0.016676563395576976,0.003919373979172419,0.00125497223279124,0.012602624919214378,0.019920119077275946,-0.0031429707718144797,0.002049265793286942,1.0
0.010982665271562553,0.006603550352031811,-0.001085610816473383,-0.014345716970457256,0.012456250930059198,0.009113156581961693,-0.003048308796834168,-0.01353732068729475,0.009470104087066389,0.01287388458159575,0.0010923314357732937,0.00023195643519899892,0.014152645546841924,0.016676563395576976,0.003919373979172419,0.00125497223279124,1.0
0.006912076925738475,0.00676140108627965,-0.0037515721187628293,-0.007364750568928759,0.010982665271562553,0.006603550352031811,-0.001085610816473383,-0.014345716970457256,0.012456250930059198,0.009113156581961693,-0.003048308796834168,-0.01353732068729475,0.009470104087066389,0.01287388458159575,0.0010923314357732937,0.00023195643519899892,1.0
0.0015809478653210363,0.005340104119192819,-0.005610077384793677,-0.007738528303128878,0.006912076925738475,0.00676140108627965,-0.0037515721187628293,-0.007364750568928759,0.010982665271562553,0.006603550352031811,-0.001085610816473383,-0.014345716970457256,0.012456250930059198,0.009113156581961693,-0.003048308796834168,-0.01353732068729475,1.0
-0.010434263495326945,0.0030717202204881286,0.000549892089758263,-0.008040082121550432,0.0015809478653210363,0.005340104119192819,-0.005610077384793677,-0.007738528303128878,0.006912076925738475,0.00676140108627965,-0.0037515721187628293,-0.007364750568928759,0.010982665271562553,0.006603550352031811,-0.001085610816473383,-0.014345716970457256,1.0
-0.017551777979045724,-0.0013663395923019582,0.001502784807966808,-0.0078306463405429,-0.010434263495326945,0.0030717202204881286,0.000549892089758263,-0.008040082121550432,0.0015809478653210363,0.005340104119192819,-0.005610077384793677,-0.007738528303128878,0.006912076925738475,0.00676140108627965,-0.0037515721187628293,-0.007364750568928759,1.0
-0.025002612951771752,-0.0037834369960850598,-0.003226766067212119,-0.016368823446343987,-0.017551777979045724,-0.0013663395923019582,0.001502784807966808,-0.0078306463405429,-0.010434263495326945,0.0030717202204881286,0.000549892089758263,-0.008040082121550432,0.0015809478653210363,0.005340104119192819,-0.005610077384793677,-0.007738528303128878,1.0
-0.026937746582952116,-0.001131949628714505,-0.002786134968410672,-0.01753221298883838,-0.025002612951771752,-0.0037834369960850598,-0.003226766067212119,-0.016368823446343987,-0.017551777979045724,-0.0013663395923019582,0.001502784807966808,-0.0078306463405429,-0.010434263495326945,0.0030717202204881286,0.000549892089758263,-0.008040082121550432,1.0
