CNT_1,Y_1_star,P_1_star,RR_1_star,CNT_2,Y_2_star,P_2_star,RR_2_star,CNT_3,Y_3_star,P_3_star,RR_3_star,CNT_4,Y_4_star,P_4_star,RR_4_star,cons
0.002698427133122294,-0.017396302941164437,0.0017867040868037485,-3.2226112299540055e-05,-0.00046099804721855264,-0.015981040478560835,0.0030549804789170125,0.002510183088795944,0.001121642764857711,-0.017516973370274035,0.004430255751989293,0.005266546237491327,0.0035670472467881353,-0.016411590069849737,0.01825155618098956,0.00554415716664862,1.0
0.004770017729958553,-0.017466398960910665,0.0008805592671920456,-0.002388335072383465,0.002698427133122294,-0.017396302941164437,0.0017867040868037485,-3.2226112299540055e-05,-0.00046099804721855264,-0.015981040478560835,0.0030549804789170125,0.002510183088795944,0.001121642764857711,-0.017516973370274035,0.004430255751989293,0.005266546237491327,1.0
-0.0018836705156211053,-0.012645071069522626,0.003274484753278743,0.001692043232898181,0.004770017729958553,-0.017466398960910665,0.0008805592671920456,-0.002388335072383465,0.002698427133122294,-0.017396302941164437,0.0017867040868037485,-3.2226112299540055e-05,-0.00046099804721855264,-0.015981040478560835,0.0030549804789170125,0.002510183088795944,1.0
-0.01038409010159036,-0.011360264731083789,0.0026101563178121457,0.0018863721366645645,-0.0018836705156211053,-0.012645071069522626,0.003274484753278743,0.001692043232898181,0.004770017729958553,-0.017466398960910665,0.0008805592671920456,-0.002388335072383465,0.002698427133122294,-0.017396302941164437,0.0017867040868037485,-3.2226112299540055e-05,1.0
-0.02125030269730388,-0.009004187808980602,0.0042684918974110996,0.002308194080437498,-0.01038409010159036,-0.011360264731083789,0.0026101563178121457,0.0018863721366645645,-0.0018836705156211053,-0.012645071069522626,0.003274484753278743,0.001692043232898181,0.004770017729958553,-0.017466398960910665,0.0008805592671920456,-0.002388335072383465,1.0
-0.01230110580592303,-0.00853855035121462,0.0017944415560996545,0.004417405530835179,-0.02125030269730388,-0.009004187808980602,0.0042684918974110996,0.002308194080437498,-0.01038409010159036,-0.011360264731083789,0.0026101563178121457,0.0018863721366645645,-0.0018836705156211053,-0.012645071069522626,0.003274484753278743,0.001692043232898181,1.0
-0.015330930471382231,-0.0014791596045662344,-0.0022055436486231425,0.004271215392438636,-0.01230110580592303,-0.00853855035121462,0.0017944415560996545,0.004417405530835179,-0.02125030269730388,-0.009004187808980602,0.0042684918974110996,0.002308194080437498,-0.01038409010159036,-0.011360264731083789,0.0026101563178121457,0.0018863721366645645,1.0
-0.011554525295355944,0.0013964486232756726,0.0018692007732254922,0.00729203565073041,-0.015330930471382231,-0.0014791596045662344,-0.0022055436486231425,0.004271215392438636,-0.01230110580592303,-0.00853855035121462,0.0017944415560996545,0.004417405530835179,-0.02125030269730388,-0.009004187808980602,0.0042684918974110996,0.002308194080437498,1.0
-0.015175484066991984,0.0028971160011509118,0.004626316813149871,0.011794089304674227,-0.011554525295355944,0.0013964486232756726,0.0018692007732254922,0.00729203565073041,-0.015330930471382231,-0.0014791596045662344,-0.0022055436486231425,0.004271215392438636,-0.01230110580592303,-0.00853855035121462,0.0017944415560996545,0.004417405530835179,1.0
-0.009710184424456259,0.002935917728364726,0.005463648352077701,0.014332937016220236,-0.015175484066991984,0.0028971160011509118,0.004626316813149871,0.011794089304674227,-0.011554525295355944,0.0013964486232756726,0.0018692007732254922,0.00729203565073041,-0.015330930471382231,-0.0014791596045662344,-0.0022055436486231425,0.004271215392438636,1.0
