,CT,Y_star,P_star,RR_star
1996-01-01,0.00627069697684135,-0.012554937417320467,-0.0058174660592286995,-0.004021328738697302
1996-04-01,0.016052486989574177,-0.008500018284404675,-0.005801714624775128,-0.002999124276131079
1996-07-01,0.0005319864365898042,-0.00850118138829069,-0.0073726363910825545,-0.007813690163341838
1996-10-01,-0.003206622804224679,-0.006796860264121967,-0.006457172865607342,-0.00861290399216132
1997-01-01,-0.0025853251777459008,-0.00835099471080072,-0.006794392554315073,-0.0034507315649828364
1997-04-01,-0.0033921829826528693,-0.0018839831951560813,-0.009455649797858946,-0.0044980393697640056
1997-07-01,0.0007579780513182754,-0.0008579386827278556,-0.004370209219745494,0.0011302334858664432
1997-10-01,0.022984247478390785,0.0012845726726886328,-0.003759218176656659,0.005870190042735503
1998-01-01,0.010698688339944695,0.0047713691398899045,-0.007069805024467039,0.005630143140555456
1998-04-01,1.8064164700959395e-05,0.0010503864507972222,-0.006663214559171348,0.0034909206188166336
1998-07-01,0.01094584435791468,0.0012399282837628367,-0.011133320562194004,0.0016643687299255376
1998-10-01,-0.004442752509007164,-0.0018286934972933098,-0.01332524904889123,-0.0031151633596482103
1999-01-01,-0.0015247948616767815,0.0006026440213175811,-0.01619503622421084,-0.012075026815070899
1999-04-01,0.002524770979910329,-0.00030397712180211015,-0.013748264994214072,-0.013940976619275812
1999-07-01,0.0005476554980070603,0.004748303615234427,-0.011734707217924538,-0.01534147144488751
1999-10-01,-0.0030367776847111116,0.01023169583676687,-0.00853058451469955,-0.009972187206661728
2000-01-01,0.003210233237318505,0.01607999749608509,-0.0032072391454547916,-0.008195192328095525
2000-04-01,0.004382271580174901,0.0198385362410368,-0.005032349322375021,-0.00702448828273951
2000-07-01,-0.0033421489076292943,0.017483395475845508,-0.0032620498134965687,0.0019916331944044487
2000-10-01,-0.01036214304970784,0.01543952337631606,-0.002485793990150334,0.00900137501309195
2001-01-01,-0.0027910233677914675,0.020207634198056473,-0.0035598442271016074,0.00400205250305505
2001-04-01,-0.005079803005562766,0.016624553075549307,0.004666319793226039,0.006508929786045675
2001-07-01,-0.01542171334854281,0.01182179910860572,0.0016547718922443244,0.0034980987936612472
2001-10-01,-0.00691043176811057,0.008013386868243636,-0.0011524302452835724,-0.006564177884884739
2002-01-01,-0.026833605749022382,0.0045263186582832045,0.001311122333181565,-0.00765205014636804
2002-04-01,-0.01690545863944415,0.004676682063409312,-0.0052142092644830934,-0.0021118514658043895
2002-07-01,-0.001479389038447465,0.004572852056448103,-0.0060096571968463785,-0.0034396853268222225
2002-10-01,0.008108678151243609,0.0011243434576839316,-0.003952095607795553,-0.004791928013225928
2003-01-01,0.013832046000761267,-0.009072003637029851,-0.0031760661498409443,-0.005314781345370534
2003-04-01,-0.0025146069776340596,-0.010780612976374292,-0.006662771047560751,-0.014301411295810628
