,Y,Y_star,P_star,RR_star
1991-01-01,0.013830730635293165,-0.012264592705593769,0.01662654071409485,0.015446760570265814
1991-04-01,0.008505840455038438,-0.01596591498226271,0.014000691881880219,0.011560884232022483
1991-07-01,-0.006890233093931997,-0.02089806614392816,0.011931213546304451,0.014241196001948791
1991-10-01,-0.01455087871030436,-0.02332225878509819,0.008716278110987805,0.021551810384122544
1992-01-01,-0.008411197002370585,-0.02180069723009255,0.0016815277731320986,0.013480594466573988
1992-04-01,-0.017934232101168845,-0.024913186458082343,-0.002630573246018529,0.014424908568012986
1992-07-01,-0.025439260789843487,-0.026479697821652593,-0.007861339455277335,0.02421240429877207
1992-10-01,-0.03287989751602893,-0.028742156593991847,-0.012151861147247816,0.021150955135644335
1993-01-01,-0.03187658039177066,-0.03397938389429416,-0.004884391075279054,0.017205862861580986
1993-04-01,-0.03607209295785907,-0.033959304617495994,-0.004963909359829804,0.005009506514601378
1993-07-01,-0.03351708089910943,-0.033554444335913564,-0.003287827403359684,-0.0012181856523299376
1993-10-01,-0.029984818311969974,-0.028695070437377252,-0.004731391012816268,-0.005306652933450775
1994-01-01,-0.028129347628270907,-0.027130778570484404,-0.012154404898319484,-0.010305823101572464
1994-04-01,-0.0249926437255219,-0.021899486354232976,-0.005149977262448596,-0.011435216612105873
1994-07-01,-0.008611095970842086,-0.0223330677958466,-0.003602702740413179,-0.006403514321044337
1994-10-01,0.009416511978479036,-0.016174023499078344,-0.0030645765516122206,-0.0011648493293018281
1995-01-01,-0.006318894870414482,-0.02012181445580571,0.00015110326467958988,0.004636056543777639
1995-04-01,0.012196896501830423,-0.02199821350088177,-0.00536575469839866,0.00823724074947684
1995-07-01,-0.0008350001902748261,-0.019121330761732003,-0.006460943256293136,0.00830530159052091
1995-10-01,-0.009317528446230128,-0.020917039569377273,-0.007012486907727003,0.006573375400511649
1996-01-01,-0.0008515602640795095,-0.019581239323080837,-0.009259377776663785,0.001264590869973763
1996-04-01,-0.0027854433777338983,-0.0196721340650825,-0.009409202080937174,-0.0008788171684091177
1996-07-01,-0.007145565081794203,-0.015296060272532571,-0.010991981372328955,-0.0058363862465254214
1996-10-01,0.0009539233676747472,-0.014858185141729045,-0.010547305834227121,-0.008229472071051963
1997-01-01,0.0019405872734523655,-0.010460668723418146,-0.011369166761825958,-0.0045701207302692205
1997-04-01,0.006034718223093094,-0.0024318653967692655,-0.0126189951175973,-0.004255358557531786
1997-07-01,0.018151404688628858,-0.0004451776235355802,-0.007307918346103217,0.001225280725086852
1997-10-01,0.0358307449782842,0.002628471767447007,-0.005135413736480027,0.006019921121577361
1998-01-01,0.017020853864373464,0.0014984665356378955,-0.007891108407621247,0.0037203948405716606
1998-04-01,0.025397086738726316,0.0025511707395815884,-0.008928376206110797,0.0030171444916825014
1998-07-01,0.02619756612821611,0.002131668739835155,-0.013996862124158965,0.002240704859055724
1998-10-01,0.02329170184527385,0.005900109123792098,-0.01693602023048669,-0.0028015442298369303
1999-01-01,0.027899024124451444,0.008956184625274206,-0.017295840575851068,-0.01021343202123464
1999-04-01,0.021452465273130272,0.008988240927544711,-0.015051411118464942,-0.01335314292873539
1999-07-01,0.015059394325872333,0.01709057842355616,-0.012401984352902918,-0.014494141519752249
1999-10-01,0.011900358121119226,0.026975525197638094,-0.009051544399750755,-0.009460335116292629
2000-01-01,0.02972003659068001,0.029789359614370552,-0.0056478684782840195,-0.007760046852274179
2000-04-01,0.025934803512775773,0.032143730835337565,-0.006709189643151712,-0.008112276452251183
2000-07-01,0.030140266382948866,0.03152438431348815,-0.004978065491281105,-0.00059083533876902
2000-10-01,0.029532895372813783,0.029631142929152345,-0.005151014169723795,0.0057859253448454195
2001-01-01,0.023402375328164027,0.027846113235949176,-0.005396686475797809,0.002102994324146507
2001-04-01,0.013775764605345131,0.02612192645844493,0.004113042379028229,0.004066131630904015
2001-07-01,0.009465043286640551,0.02263489556404657,0.001980468782836957,0.0014254538591015502
2001-10-01,-0.0037372979038270415,0.02024218423869537,-0.00043781466563713403,-0.009529474454523939
2002-01-01,-0.007361583728608068,0.019813438741430097,0.0011459377796236663,-0.012875062974973372
2002-04-01,-0.007406604940364048,0.021927102766370485,-0.006158970985448751,-0.004119184733463965
2002-07-01,-0.019366238877095654,0.01923873491365159,-0.006525957225196257,-0.0034864512234489007
2002-10-01,-0.017381259554539952,0.01833022307043742,-0.0034754633485200213,-0.003352263076502665
2003-01-01,-0.03350743946756651,0.015115644958930093,-3.792414982742674e-05,-0.0008835475268660593
2003-04-01,-0.027954695354734937,0.012803436940199323,-0.005915554000375785,-0.009535199492193688
2003-07-01,-0.02447408165931897,0.019037778111593292,-0.006675519043569099,-0.011957131368176766
2003-10-01,-0.03072581691180254,0.02248130698493228,-0.008712848543840175,-0.012213508417424409
2004-01-01,-0.025788762462308767,0.02657302597734325,-0.013913006471847424,-0.01080254923311754
2004-04-01,-0.024634480431492634,0.02711605570564076,-0.007589402384192484,-0.010248805277613182
2004-07-01,-0.02090059585226811,0.02497635715173129,-0.0066214456895577365,-0.012462538121148618
2004-10-01,-0.012665836332926617,0.026473778395543334,-0.0044498207477682815,-0.010846843301656093
2005-01-01,-0.009170066121303222,0.02891462028545143,-0.006138716789497362,-0.009711202694778572
2005-04-01,-0.02719206745960001,0.0302346378115401,-0.006121075454537741,-0.011711315257321147
2005-07-01,-0.01844306246889893,0.03312953181496819,-0.0022587653466245856,-0.009273247855282558
2005-10-01,-0.020836598664095263,0.03497235876164461,-0.002134875458270083,-0.0034432995491731587
