,CT,Y_star,P_star,RR_star
1996-01-01,0.0027726996960737438,-0.017778405108742384,-0.010433891060082575,-0.0008364231853804472
1996-04-01,-0.0016522006305255132,-0.015600880421088377,-0.01000618042438181,0.001794818840055236
1996-07-01,-0.001616974412446126,-0.013694432379808363,-0.010420491820857556,-0.0004860442326120522
1996-10-01,-0.00724221002505665,-0.010851421955981141,-0.008675888101810717,-0.0014308936219818093
1997-01-01,-0.01444263686981273,-0.00877164492606732,-0.010667406265225313,0.0024011900214431204
1997-04-01,-0.004233677457415652,-0.0031498485106636878,-0.013375454712624938,0.0016057967457889014
1997-07-01,-0.0072024723636960886,-0.0010525290277498493,-0.011059989338264027,0.004585235077642378
1997-10-01,0.00990660101915708,0.0020275161989104984,-0.011074168038408251,0.008216596010575849
1998-01-01,-0.004020730554289642,0.0024626205204428763,-0.01286566980473731,0.0066532102129263585
1998-04-01,1.922269736986948e-05,0.002029152239504933,-0.011888765755149862,0.003936814322474487
1998-07-01,0.004011445603286035,0.0034196372719569705,-0.014190780093699295,0.001797305522379637
1998-10-01,-0.011225186480837479,0.005283792281330697,-0.014658469492529103,-0.0034894169511568538
1999-01-01,-0.01423920770080045,0.00722261994992179,-0.015201788327057694,-0.011546467867264574
1999-04-01,-0.026460298692773776,0.007291911489909975,-0.013199591216198943,-0.013537186650131077
1999-07-01,0.01404559279416695,0.01394444407987083,-0.011509225770596765,-0.014482183348565849
1999-10-01,-0.012533551737872628,0.021087253254792836,-0.009411321148415159,-0.008228714523099678
2000-01-01,0.030583891454039502,0.02494705562138632,-0.00573961737890377,-0.006556877802989355
2000-04-01,0.031640736662915,0.029537384484958344,-0.005256393034347326,-0.0038106881532853952
2000-07-01,0.02091590354789652,0.027653119030218304,-0.0024525345881520532,0.005186593047222848
2000-10-01,0.012117807200500152,0.026382777601269388,-0.0017061139370304007,0.012882505629873016
2001-01-01,0.015768385221523573,0.02588284082448804,-0.00183119914796575,0.007721840992118122
2001-04-01,0.013371335130537787,0.02318536206263274,0.0035756948488003563,0.005649888731730274
2001-07-01,0.003952505887045987,0.018056366351416622,0.000715147986626095,0.0007828555970458887
2001-10-01,0.0119591400500898,0.014590725980981899,-0.0033263569017254638,-0.012290489755345212
