P_1,Y_1_star,P_1_star,RR_1_star,P_2,Y_2_star,P_2_star,RR_2_star,P_3,Y_3_star,P_3_star,RR_3_star,P_4,Y_4_star,P_4_star,RR_4_star,cons
0.0004844231416157377,-0.025416543068789876,-0.010850904714993118,-0.005866690987771825,0.0012686389907834161,-0.03082233588407276,-0.009193709374979346,-0.002525001544779107,0.004441126914342147,-0.03300999259880074,-0.010623417681332082,0.00428217939293284,0.003529107297122587,-0.0328813982080321,-0.009723344613500108,0.01423856869519898,1.0
-0.02658755187890027,-0.024313825356645728,-0.014752761513888267,-0.01187996561181983,0.0004844231416157377,-0.025416543068789876,-0.010850904714993118,-0.005866690987771825,0.0012686389907834161,-0.03082233588407276,-0.009193709374979346,-0.002525001544779107,0.004441126914342147,-0.03300999259880074,-0.010623417681332082,0.00428217939293284,1.0
-0.021968694399198466,-0.019392979244750988,-0.010113747820787725,-0.012449419993858455,-0.02658755187890027,-0.024313825356645728,-0.014752761513888267,-0.01187996561181983,0.0004844231416157377,-0.025416543068789876,-0.010850904714993118,-0.005866690987771825,0.0012686389907834161,-0.03082233588407276,-0.009193709374979346,-0.002525001544779107,1.0
-0.01557559503490362,-0.019429052804230285,-0.007991137409875615,-0.007470303938601102,-0.021968694399198466,-0.019392979244750988,-0.010113747820787725,-0.012449419993858455,-0.02658755187890027,-0.024313825356645728,-0.014752761513888267,-0.01187996561181983,0.0004844231416157377,-0.025416543068789876,-0.010850904714993118,-0.005866690987771825,1.0
-0.017036938661197508,-0.009378502066324684,-0.0071982839418517405,-0.0017944326298588184,-0.01557559503490362,-0.019429052804230285,-0.007991137409875615,-0.007470303938601102,-0.021968694399198466,-0.019392979244750988,-0.010113747820787725,-0.012449419993858455,-0.02658755187890027,-0.024313825356645728,-0.014752761513888267,-0.01187996561181983,1.0
-0.01423077200877752,-0.016254588726801966,-0.003566998185001703,0.0024317018170215473,-0.017036938661197508,-0.009378502066324684,-0.0071982839418517405,-0.0017944326298588184,-0.01557559503490362,-0.019429052804230285,-0.007991137409875615,-0.007470303938601102,-0.021968694399198466,-0.019392979244750988,-0.010113747820787725,-0.012449419993858455,1.0
-0.011785634919330615,-0.01480859946266377,-0.00788558110249907,0.0024640660057289546,-0.01423077200877752,-0.016254588726801966,-0.003566998185001703,0.0024317018170215473,-0.017036938661197508,-0.009378502066324684,-0.0071982839418517405,-0.0017944326298588184,-0.01557559503490362,-0.019429052804230285,-0.007991137409875615,-0.007470303938601102,1.0
-0.015392154557845386,-0.013024814937429102,-0.009128052441753586,0.0001398605627539705,-0.011785634919330615,-0.01480859946266377,-0.00788558110249907,0.0024640660057289546,-0.01423077200877752,-0.016254588726801966,-0.003566998185001703,0.0024317018170215473,-0.017036938661197508,-0.009378502066324684,-0.0071982839418517405,-0.0017944326298588184,1.0
-0.015837804215744215,-0.015125462167148463,-0.009712396144894797,-0.0022126121998237657,-0.015392154557845386,-0.013024814937429102,-0.009128052441753586,0.0001398605627539705,-0.011785634919330615,-0.01480859946266377,-0.00788558110249907,0.0024640660057289546,-0.01423077200877752,-0.016254588726801966,-0.003566998185001703,0.0024317018170215473,1.0
-0.02260469981190803,-0.01483225204448052,-0.01107098705453021,-0.008042603319607955,-0.015837804215744215,-0.015125462167148463,-0.009712396144894797,-0.0022126121998237657,-0.015392154557845386,-0.013024814937429102,-0.009128052441753586,0.0001398605627539705,-0.011785634919330615,-0.01480859946266377,-0.00788558110249907,0.0024640660057289546,1.0
-0.02839164786600543,-0.014080305511938727,-0.010087238323359914,-0.005700584084795427,-0.02260469981190803,-0.01483225204448052,-0.01107098705453021,-0.008042603319607955,-0.015837804215744215,-0.015125462167148463,-0.009712396144894797,-0.0022126121998237657,-0.015392154557845386,-0.013024814937429102,-0.009128052441753586,0.0001398605627539705,1.0
-0.03392248460634568,-0.009287701233390589,-0.010201036247759525,-0.006625809649678961,-0.02839164786600543,-0.014080305511938727,-0.010087238323359914,-0.005700584084795427,-0.02260469981190803,-0.01483225204448052,-0.01107098705453021,-0.008042603319607955,-0.015837804215744215,-0.015125462167148463,-0.009712396144894797,-0.0022126121998237657,1.0
-0.037263648987507364,-0.009688636898121338,-0.008226424428031691,-0.0077593815707997955,-0.03392248460634568,-0.009287701233390589,-0.010201036247759525,-0.006625809649678961,-0.02839164786600543,-0.014080305511938727,-0.010087238323359914,-0.005700584084795427,-0.02260469981190803,-0.01483225204448052,-0.01107098705453021,-0.008042603319607955,1.0
-0.03592545359371818,-0.006427447894834615,-0.0085036885877942,-0.005901408440933708,-0.037263648987507364,-0.009688636898121338,-0.008226424428031691,-0.0077593815707997955,-0.03392248460634568,-0.009287701233390589,-0.010201036247759525,-0.006625809649678961,-0.02839164786600543,-0.014080305511938727,-0.010087238323359914,-0.005700584084795427,1.0
-0.03144701789781878,0.002226555369231081,-0.010720326222402477,-0.0071260001321352285,-0.03592545359371818,-0.006427447894834615,-0.0085036885877942,-0.005901408440933708,-0.037263648987507364,-0.009688636898121338,-0.008226424428031691,-0.0077593815707997955,-0.03392248460634568,-0.009287701233390589,-0.010201036247759525,-0.006625809649678961,1.0
