,Y,Y_star,P_star,RR_star
1996-01-01,-0.0019340924428590256,-0.017466398960910665,0.0008805592671920456,-0.002388335072383465
1996-04-01,-3.1015566790415505e-05,-0.012645071069522626,0.003274484753278743,0.001692043232898181
1996-07-01,0.000581075878413273,-0.011360264731083789,0.0026101563178121457,0.0018863721366645645
1996-10-01,0.0052016499514486725,-0.009004187808980602,0.0042684918974110996,0.002308194080437498
1997-01-01,0.0052456137804188785,-0.00853855035121462,0.0017944415560996545,0.004417405530835179
1997-04-01,0.0005167628335218666,-0.0014791596045662344,-0.0022055436486231425,0.004271215392438636
1997-07-01,-0.010183764380741422,0.0013964486232756726,0.0018692007732254922,0.00729203565073041
1997-10-01,-0.0025630565151022466,0.0028971160011509118,0.004626316813149871,0.011794089304674227
1998-01-01,0.0016118077084588123,0.002935917728364726,0.005463648352077701,0.014332937016220236
1998-04-01,-0.006912159995083655,0.002201733634741701,0.004182352774244028,0.011518762035891793
1998-07-01,-0.007480779581458208,0.0048470474717979255,0.00060315358739643,0.007765933649055088
1998-10-01,-0.007773575402680422,0.008311975450626346,-0.002819788367702697,0.0006653697655622773
1999-01-01,-0.025985896865627467,0.010876754268419397,-0.009824497767585394,-0.008327383576613933
1999-04-01,0.006690260391433611,0.011898921536198247,-0.008242105941576419,-0.010533302762060406
1999-07-01,0.0015369106064984095,0.01815527899279043,-0.007053473592437818,-0.010861018051162057
1999-10-01,0.012398846110709627,0.025465056968240047,-0.004766678628141746,-0.00394155153185166
2000-01-01,0.025719857683954572,0.02748591173346996,0.0019889526285396635,-0.002651884530552824
2000-04-01,0.04818476765708546,0.03378915702432118,0.0005150091809690853,0.0002304640813605398
2000-07-01,0.06921398022769587,0.03096609079647082,-0.00014796678521573876,0.00870004454073884
2000-10-01,0.06005603619536792,0.02977080527580898,-0.003819382098489056,0.016519486345487642
2001-01-01,0.03982996663168592,0.026730586261716226,-0.006196716135823744,0.01094398528900602
2001-04-01,0.02654123105216577,0.024478004360384418,0.0036570301881394354,0.006759998586063518
2001-07-01,0.007107580343328479,0.017462033979313406,0.0025511419447706175,0.0005322553734509781
2001-10-01,-0.0060422174976917375,0.014089016200451972,0.0010016067088919488,-0.013901654372554511
2002-01-01,-0.010206712485420155,0.014341406081070106,0.0011827866090653402,-0.018406686314366472
2002-04-01,-0.013864842628322549,0.015068736309416275,-0.00926394499764157,-0.01156119865754775
2002-07-01,-0.02140880354511232,0.013845085298385879,-0.010688837729800647,-0.012044403930385857
2002-10-01,-0.031163052498566657,0.010562712887171675,-0.009077759777497404,-0.01206324145135424
2003-01-01,-0.027175356695623876,0.006468556019546403,-0.007255721705143963,-0.012217959989317125
2003-04-01,-0.038999735598091334,0.00646577798966644,-0.011679027126761546,-0.02103752080216383
2003-07-01,-0.03919506722547084,0.012636560362838398,-0.013378651799808669,-0.021656842359017194
2003-10-01,-0.04385663076640789,0.017253207223180772,-0.017143780255202974,-0.02336792895054166
2004-01-01,-0.027388526859633444,0.01816867500087847,-0.020116663116758585,-0.021311821941990182
2004-04-01,-0.027271564735176668,0.019462618064200948,-0.014129033312533812,-0.018681598734452885
2004-07-01,-0.023682393013494618,0.02048195635461844,-0.01317138548974917,-0.020969678190017414
2004-10-01,-0.019867943799901866,0.021637354737610026,-0.009000904697602556,-0.01694627919645185
2005-01-01,-0.021593424189118693,0.02371966884970895,-0.010569477855787962,-0.01333410148787226
2005-04-01,-0.019918929805129437,0.024688362225229625,-0.010855797474953733,-0.013497813684648705
2005-07-01,-0.015967941046124423,0.027760445620342966,-0.005761843499647516,-0.006964268798966329
2005-10-01,-0.0071689078661663075,0.029656313652878113,-0.005765963259547536,0.0048862226667287165
2006-01-01,0.0017701463961987685,0.03536667152250247,-0.005523246204315305,0.005427324108752807
2006-04-01,0.011026059240437647,0.03587213605813666,-0.0014653738025164947,0.008080574349107493
2006-07-01,-0.00501653572029781,0.0347483680301038,-0.0036741904146790657,0.01324155547064602
2006-10-01,0.0006612977478184234,0.039020632443304205,-0.010566269150240658,0.0033719004724133608
2007-01-01,0.01229272046866825,0.04028393623262858,-0.007402797248474841,0.00251491697385763
2007-04-01,0.02052080165177017,0.0424313761264872,-0.006243015291000682,0.0007669765437456798
2007-07-01,0.029835534515045836,0.042971463263404584,-0.008191433346878142,-0.002803633831431419
2007-10-01,0.034925329988363174,0.044773336751746044,0.003137876951178904,0.02108705920901311
2008-01-01,0.033455023081307544,0.04074977863807238,0.0068927945889197505,0.02562140741146794
2008-04-01,0.025622046269891285,0.03778116043234844,0.011946108254558043,0.0357206484752707
2008-07-01,0.017404744949256923,0.02828233215338413,0.02007384955671011,0.04419603228306974
2008-10-01,3.678845816423859e-06,0.0031571722490980596,-0.001210502440298264,0.020794365913145707
2009-01-01,-0.010401062822939622,-0.02052734832217467,-0.014370502058582396,-0.0062371855233780025
2009-04-01,-0.0098137877458786,-0.02452488366222099,-0.02423472035094352,-0.01001156212787439
2009-07-01,-0.00920905178061382,-0.02481938812217149,-0.02836467083126436,-0.011120108047623667
2009-10-01,-0.005635487130906114,-0.021053580068767428,-0.011486646473967015,-0.013620226496810588
2010-01-01,-0.00252339530651291,-0.019872960507661703,-0.0010286127980546967,-0.01984949539120809
2010-04-01,0.001036163864958084,-0.014293165821503768,-0.002214734935504062,-0.025195703155865914
2010-07-01,0.002892673123346512,-0.011817064264743904,-0.005231067045303165,-0.026136050444136527
2010-10-01,0.007912120198909633,-0.011158544466710467,-0.003427690780809636,-0.023008841582983774
