,Y,Y_star,P_star,RR_star
1980-01-01,0.05043501894211566,0.005590848376257883,0.06479718547532448,-9.536157953542182e-05
1980-04-01,0.0221990895154498,-0.018060636324791983,0.07146914556357035,-0.0020271225126798856
1980-07-01,-0.0035991568806572616,-0.026144933345977294,0.058281347428552406,-0.021792164526925156
1980-10-01,0.01012586545404659,-0.03312456322803878,0.057673124921139934,-0.00757785821181799
1981-01-01,0.019253373566158416,-0.029862282833165468,0.045810605655152874,0.011405781900084871
1981-04-01,0.015710883770625017,-0.035275989717171746,0.04113698255477918,0.031525425113954765
1981-07-01,-0.004540695001784556,-0.03413828707972915,0.04338357706039606,0.04363793718156022
1981-10-01,-0.012516977460267142,-0.044661059789595906,0.039266000074116326,0.03211127129595829
1982-01-01,-0.013273570634696696,-0.05808634707854348,0.02998491876305303,0.03291230782457921
1982-04-01,-0.020927480309550717,-0.06069625004784848,0.024182051963916918,0.04045851497062522
1982-07-01,-0.028993160436129983,-0.0691989679865882,0.015071321459487207,0.03107090671679676
1982-10-01,-0.03358596290351912,-0.07406806255196557,0.008332130245896918,0.014461835372440232
1983-01-01,-0.022637068443843944,-0.06448369477819076,0.0027342877395527595,0.004469237674884754
1983-04-01,-0.019478790715613314,-0.05711069838401748,-0.00287805649715278,0.00562836457949556
1983-07-01,-0.013575306806673737,-0.05002644463811956,-0.00144126937025427,0.014194265688831963
1983-10-01,-0.021039347399057107,-0.04528111342118452,-0.0012067744904873201,0.017791216192020735
1984-01-01,-0.0024154307126558194,-0.038643517421865684,-0.0019345046154837853,0.018181397888666243
1984-04-01,-0.004084711083740089,-0.04079455662217553,-0.003790880391522775,0.01925484444946693
1984-07-01,0.01659206101608568,-0.0413088981436831,-0.009390871869139459,0.022274624346471164
1984-10-01,0.02927722917721809,-0.03440458863210708,-0.011268615015403093,0.01803167188465934
1985-01-01,0.04081384905803631,-0.031207154825879782,-0.008868146917661787,0.022778979253962415
1985-04-01,0.019093640969899184,-0.024354080597849274,-0.006136441189615937,0.028243527794499165
1985-07-01,0.03985946635597415,-0.02429921395679897,-0.01104207513794861,0.0241239691297779
1985-10-01,0.04156676026499717,-0.024384058367900675,-0.014079655610832872,0.024369907452875227
1986-01-01,0.05224318656943261,-0.023119055720410904,-0.02133997856532477,0.02256496546417375
1986-04-01,0.030686565970356128,-0.022916704858264702,-0.03347254032662424,0.007350589174663869
1986-07-01,0.04854886112604717,-0.023174808121587894,-0.034218485385906494,0.0016000381267761337
1986-10-01,0.046104804339694994,-0.021201578267969645,-0.03581818073836479,0.0008744658588942588
1987-01-01,0.03400444047387907,-0.016180729427287526,-0.032885979887849366,0.003791813234697662
1987-04-01,0.04783562220884541,-0.008660736838850365,-0.02694548175968612,0.0049769361155208745
1987-07-01,0.013511504695472354,0.001071385597334191,-0.022779497080350583,0.0036020766714623172
1987-10-01,0.023585688509557556,0.00724094909850274,-0.020310260404170742,0.00226625240104894
1988-01-01,0.011949281343454743,0.016122897486657684,-0.021453449852635555,-0.0110152020899502
1988-04-01,-0.011391490626566636,0.015272111278171038,-0.017268148075505974,-0.01395163053315929
1988-07-01,-0.010862838397152075,0.018220400239017265,-0.01401388332269537,-0.00472655794528021
1988-10-01,-0.017311233564948125,0.021638116573895295,-0.0111652808582078,-0.0014655430626878206
1989-01-01,-0.03174070428515208,0.02124643757602904,-0.005740555867722932,0.007989423951533101
1989-04-01,-0.02787988985731893,0.02074916343004732,-0.0022327122173848505,0.015958322324741765
1989-07-01,-0.026053334076921786,0.01794856712695855,-0.002715184164668932,0.013726342190961081
1989-10-01,-0.026922399395342467,0.013288555263897456,-0.000299165327382783,0.015159548250284129
1990-01-01,-0.038401502325580594,0.01445072246268849,0.0042757105482960625,0.018404586927616384
1990-04-01,-0.035480014822656614,0.010945276240709796,0.006791489400595204,0.016619861262058458
1990-07-01,-0.053173744190059935,-0.0007770369547930777,0.011103677662426224,0.013952151447538327
1990-10-01,-0.03454668930281812,-0.012640654449929099,0.015175011819745449,0.016959386812248126
1991-01-01,-0.033879092806387234,-0.023451055322157688,0.013941888813852443,0.015681798480135924
1991-04-01,-0.03643229484812238,-0.027438606281972037,0.011534634385638407,0.009492432195288236
1991-07-01,-0.04663026052615038,-0.03284921668094119,0.01044943638243305,0.014889690866892706
1991-10-01,-0.047060292208197296,-0.03658484821212809,0.007393203680895666,0.019452395218141304
1992-01-01,-0.03373481884429097,-0.03925816761516089,0.0007274576682144906,0.013074461487301863
1992-04-01,-0.03623224244430645,-0.0433030751227129,-0.002883650275454682,0.013993688898283152
1992-07-01,-0.03089623201873337,-0.04358914036287923,-0.00891314032397369,0.014152375319184023
1992-10-01,-0.04573913958809683,-0.04241300101347222,-0.013552643045182286,0.015343312520079335
1993-01-01,-0.0599779889088623,-0.04332482817255041,-0.0068672644621241225,0.019080399547659593
1993-04-01,-0.05038069304158377,-0.04330207191870378,-0.008519453951140444,0.008987387042602811
1993-07-01,-0.038244015051294156,-0.04247251895653959,-0.006962665313169514,0.004361300694272257
1993-10-01,-0.010850800563886764,-0.04044605361415493,-0.00804873387368587,0.001523101123855834
1994-01-01,-0.02986070904488436,-0.03469228675404842,-0.014866641554362056,-0.0041762093512238896
1994-04-01,-0.014357436606426077,-0.028764372059854715,-0.011713349896113051,-0.004684389435889733
1994-07-01,-0.035526073614940756,-0.025519559382843903,-0.010685650131972676,-0.002742461495707801
1994-10-01,-0.004230604748050482,-0.02305718790320482,-0.010782205780089598,0.0008956909188159628
1995-01-01,-0.019508164092322033,-0.0242866270940168,-0.008276964877958736,0.007452867657178786
