,YNT,Y_star,P_star,RR_star
1980-01-01,0.012300990458117056,0.005590848376257883,0.06479718547532448,-9.536157953542182e-05
1980-04-01,0.005372959521203313,-0.018060636324791983,0.07146914556357035,-0.0020271225126798856
1980-07-01,0.004099065364670196,-0.026144933345977294,0.058281347428552406,-0.021792164526925156
1980-10-01,0.0030096612872370088,-0.03312456322803878,0.057673124921139934,-0.00757785821181799
1981-01-01,0.010282652982402496,-0.029862282833165468,0.045810605655152874,0.011405781900084871
1981-04-01,0.008781664560116198,-0.035275989717171746,0.04113698255477918,0.031525425113954765
1981-07-01,0.009588680472564448,-0.03413828707972915,0.04338357706039606,0.04363793718156022
1981-10-01,0.00047271002853932487,-0.044661059789595906,0.039266000074116326,0.03211127129595829
1982-01-01,-0.018852510840250858,-0.05808634707854348,0.02998491876305303,0.03291230782457921
1982-04-01,-0.010837437104385117,-0.06069625004784848,0.024182051963916918,0.04045851497062522
1982-07-01,-0.022928468106179878,-0.0691989679865882,0.015071321459487207,0.03107090671679676
1982-10-01,-0.011092574192650417,-0.07406806255196557,0.008332130245896918,0.014461835372440232
1983-01-01,-0.026460099146804694,-0.06448369477819076,0.0027342877395527595,0.004469237674884754
1983-04-01,-0.022355745757641543,-0.05711069838401748,-0.00287805649715278,0.00562836457949556
1983-07-01,-0.015382021680700575,-0.05002644463811956,-0.00144126937025427,0.014194265688831963
1983-10-01,-0.021068301064191886,-0.04528111342118452,-0.0012067744904873201,0.017791216192020735
1984-01-01,-0.010125835076744139,-0.038643517421865684,-0.0019345046154837853,0.018181397888666243
1984-04-01,-0.01602381672269182,-0.04079455662217553,-0.003790880391522775,0.01925484444946693
1984-07-01,0.006191931970715103,-0.0413088981436831,-0.009390871869139459,0.022274624346471164
1984-10-01,0.021049692253887642,-0.03440458863210708,-0.011268615015403093,0.01803167188465934
1985-01-01,0.04248166996704761,-0.031207154825879782,-0.008868146917661787,0.022778979253962415
1985-04-01,0.026589910473553857,-0.024354080597849274,-0.006136441189615937,0.028243527794499165
1985-07-01,0.035075898650950066,-0.02429921395679897,-0.01104207513794861,0.0241239691297779
1985-10-01,0.036193772677433955,-0.024384058367900675,-0.014079655610832872,0.024369907452875227
1986-01-01,0.049301768296134085,-0.023119055720410904,-0.02133997856532477,0.02256496546417375
1986-04-01,0.05005161302566563,-0.022916704858264702,-0.03347254032662424,0.007350589174663869
1986-07-01,0.04366398622034495,-0.023174808121587894,-0.034218485385906494,0.0016000381267761337
1986-10-01,0.043032006139885226,-0.021201578267969645,-0.03581818073836479,0.0008744658588942588
1987-01-01,0.02472390051656781,-0.016180729427287526,-0.032885979887849366,0.003791813234697662
1987-04-01,0.05015064434786609,-0.008660736838850365,-0.02694548175968612,0.0049769361155208745
1987-07-01,0.02301159491035243,0.001071385597334191,-0.022779497080350583,0.0036020766714623172
1987-10-01,0.03098975693737316,0.00724094909850274,-0.020310260404170742,0.00226625240104894
1988-01-01,0.03262284267076687,0.016122897486657684,-0.021453449852635555,-0.0110152020899502
1988-04-01,0.014613290060880857,0.015272111278171038,-0.017268148075505974,-0.01395163053315929
1988-07-01,0.018053133382354147,0.018220400239017265,-0.01401388332269537,-0.00472655794528021
1988-10-01,-0.008539696690077037,0.021638116573895295,-0.0111652808582078,-0.0014655430626878206
1989-01-01,-0.005200263325059851,0.02124643757602904,-0.005740555867722932,0.007989423951533101
1989-04-01,-0.014282572266322902,0.02074916343004732,-0.0022327122173848505,0.015958322324741765
1989-07-01,-0.022643573230181957,0.01794856712695855,-0.002715184164668932,0.013726342190961081
1989-10-01,-0.008079083774731544,0.013288555263897456,-0.000299165327382783,0.015159548250284129
