,CNT,Y_star,P_star,RR_star
1988-04-01,0.004451349129254822,-0.0012359898132965638,0.009794437931334084,-0.00566420521101145
1988-07-01,0.03618057231217975,0.00011459645130859077,0.01082897582206474,0.002985992440656032
1988-10-01,0.035005719305566174,0.006453703107709473,0.013152348899356864,0.012350278344310203
1989-01-01,0.029639584572196398,0.0069445713595558,0.00651644907956412,0.018698827229800218
1989-04-01,0.03515281654218683,0.012796716086957734,0.012619289045658734,0.033757692925138715
1989-07-01,0.018657546019458238,0.012759734919744616,0.016776148698858896,0.03880923399101948
1989-10-01,0.01143572756235045,0.007052707890693903,0.016026185306510475,0.032541790493676954
1990-01-01,0.02439508032919413,0.007596097424627632,0.025281194592490074,0.03767266457866588
1990-04-01,0.026849381579548748,0.0031089021996086323,0.018409806959806464,0.04040184573151935
1990-07-01,0.02360770466204798,-0.006878177954200033,0.0054169700895081024,0.03784521528362234
1990-10-01,0.025554239995415173,-0.014163274570283975,0.012441164384870316,0.04195127649072642
1991-01-01,0.016638597655484588,-0.027975657721261427,-0.001814480659209428,0.03351741318909397
1991-04-01,-0.00479864922681017,-0.03355624267082925,-0.01447782980723454,0.028242734713609354
1991-07-01,-0.010622424003209119,-0.037021343713738254,-0.01565305320900983,0.026015576007966227
1991-10-01,-0.009570556810235331,-0.04167208808640294,-0.02939191233669638,0.01883456122435464
1992-01-01,-0.01468101745557071,-0.04142159737986438,-0.03207230582739237,0.005465668525889157
1992-04-01,-0.01809095853049847,-0.04287020086382663,-0.03627004471108177,-0.0026112833473220273
1992-07-01,-0.02344259090854628,-0.04274095601160784,-0.04018404937215833,-0.010563182759613461
1992-10-01,-0.012244012884211841,-0.036563336950353506,-0.04508034290263185,-0.006754327234932506
1993-01-01,-0.026604560206816785,-0.03858991115272751,-0.038389547515374094,-0.0049752870330885355
1993-04-01,-0.019785198520139602,-0.03945502992348993,-0.03294453715836549,-0.010751258595774244
1993-07-01,-0.018621814085824084,-0.04276968196194331,-0.030438233742828242,-0.01522213972928994
1993-10-01,-0.01835924657902588,-0.03615838240640399,-0.031677457433647686,-0.018452096100644032
1994-01-01,-0.021133638751853923,-0.02980273618587669,-0.03388449320346453,-0.025613186521113503
